X, Y, Int U, U, Ux, Uy, Int V, V, Vx, Vy, Interation, ZNCC, 
188, 158, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.879656, 
198, 158, -1, -1, 0, 0, 0, 0, 0, 0, 5, 0.857727, 
208, 158, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.812646, 
218, 158, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.956928, 
228, 158, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.953863, 
18, 168, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.902857, 
28, 168, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.972515, 
38, 168, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.94262, 
48, 168, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.859015, 
58, 168, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.92125, 
68, 168, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.824412, 
78, 168, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.959397, 
88, 168, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.946284, 
98, 168, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.916631, 
108, 168, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.881684, 
